date,level,country,lat,long,population,tz,state_abbr
2020-04-16,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-17,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-18,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-19,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-20,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-21,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-22,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-23,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-24,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-25,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-26,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-27,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
2020-04-28,state,Australia,-35.49,149.0,396857,Australia/Canberra,ACT
